index,time,type,process,f,value,error,time_seconds,time_diff_seconds
151,3914248432,invoke,9.0,write,0,,3.914248432,0.0016846830000001312
152,3917395443,ok,7.0,write,0,,3.917395443,0.003147011000000255
153,3917481357,invoke,0.0,read,0,,3.917481357,8.591400000002025e-05
154,3922065778,ok,1.0,read,0,,3.922065778,0.004584420999999672
155,3922105537,ok,4.0,read,0,,3.922105537,3.975900000030563e-05
156,3922218470,ok,2.0,read,0,,3.92221847,0.00011293299999959316
157,3922257984,invoke,1.0,read,0,,3.922257984,3.951400000001826e-05
158,3924303583,ok,6.0,write,0,,3.924303583,0.00204559900000012
159,3926841951,invoke,6.0,cas,0,,3.926841951,0.0025383680000001796
160,3928990667,fail,5.0,cas,0,,3.928990667,0.002148715999999773
161,3930662407,ok,0.0,read,0,,3.930662407,0.0016717399999999216
162,3930821460,invoke,0.0,read,0,,3.93082146,0.00015905300000040867
163,3934012550,fail,8.0,cas,0,,3.93401255,0.003191089999999619
164,3938503182,fail,6.0,cas,0,,3.938503182,0.004490631999999994
165,3938728725,invoke,8.0,write,0,,3.938728725,0.00022554299999999472
166,3940608455,invoke,5.0,write,0,,3.940608455,0.0018797300000001904
167,3942409203,invoke,6.0,cas,0,,3.942409203,0.0018007479999999632
168,3943072185,ok,1.0,read,0,,3.943072185,0.0006629820000001452
169,3945209068,invoke,1.0,read,0,,3.945209068,0.002136882999999923
170,3948098157,invoke,7.0,write,0,,3.948098157,0.002889088999999956
171,3948972829,invoke,2.0,read,0,,3.948972829,0.0008746720000001318
172,3951230669,invoke,3.0,read,0,,3.951230669,0.0022578399999999554
173,3953551602,ok,9.0,write,0,,3.953551602,0.002320933000000025
174,3953635133,invoke,9.0,cas,0,,3.953635133,8.353100000002556e-05
175,3956356875,ok,8.0,write,0,,3.956356875,0.0027217419999998604
176,3956635314,invoke,8.0,write,0,,3.956635314,0.0002784390000001302
177,3958819413,ok,1.0,read,0,,3.958819413,0.0021840989999999394
178,3958909124,invoke,1.0,read,0,,3.958909124,8.971099999977028e-05
179,3965702899,ok,0.0,read,0,,3.965702899,0.006793775000000224
180,3966343353,ok,2.0,read,0,,3.966343353,0.0006404540000000125
181,3966556052,invoke,0.0,read,0,,3.966556052,0.00021269899999998287
182,3967250373,invoke,2.0,read,0,,3.967250373,0.0006943210000001088
183,3967773933,invoke,4.0,read,0,,3.967773933,0.0005235599999999785
184,3972333711,ok,3.0,read,0,,3.972333711,0.004559777999999959
185,3972506031,invoke,3.0,read,0,,3.972506031,0.00017231999999989256
186,3977138679,ok,7.0,write,0,,3.977138679,0.0046326479999998504
187,3977200944,ok,1.0,read,0,,3.977200944,6.226499999995028e-05
